ID,date,asset_type,type,name,currency,category
ppf2,02-Jan-22,PPF,invest,150000,INR,Debt
ppf3,08-Jan-22,PPF,invest,150000,INR,Debt
ppf4,01-Apr-23,PPF,invest,150000,INR,Debt
ppf5,01-Apr-24,PPF,invest,50000,INR,Debt
ppf6,29-Apr-24,PPF,invest,100000,INR,Debt
ppf7,11-Apr-25,PPF,invest,150000,INR,Debt
ppf8,08-May-26,PPF,invest,150000,INR,Debt
ppf9,31-Mar-22,PPF,interest,888,INR,Debt
ppf10,31-Mar-23,PPF,interest,21363,INR,Debt
ppf11,31-Mar-24,PPF,interest,33530,INR,Debt
ppf12,31-Mar-25,PPF,interest,45969,INR,Debt
ppf13,31-Mar-26,PPF,interest,59587,INR,Debt

ssy1,24-Jul-23,SSY,invest,1000,INR,Debt
ssy2,28-Jul-23,SSY,invest,250,INR,Debt
ssy3,28-Jul-23,SSY,invest,250,INR,Debt
ssy4,28-Jul-23,SSY,invest,3500,INR,Debt
ssy5,25-Nov-23,SSY,invest,40000,INR,Debt
ssy6,29-Nov-23,SSY,invest,5000,INR,Debt
ssy7,15-Dec-23,SSY,invest,50000,INR,Debt
ssy8,20-Jan-24,SSY,invest,19000,INR,Debt
ssy9,28-Feb-24,SSY,invest,31000,INR,Debt
ssy10,01-Apr-24,SSY,invest,100000,INR,Debt
ssy11,01-Apr-24,SSY,invest,50000,INR,Debt
ssy12,11-Apr-25,SSY,invest,150000,INR,Debt
ssy13,08-May-25,SSY,invest,50000,INR,Debt
ssy14,27-May-25,SSY,invest,100000,INR,Debt
ssy15,31-Mar-24,SSY,interest,2988,INR,Debt
ssy16,31-Mar-25,SSY,interest,24845,INR,Debt
ssy17,31-Mar-26,SSY,interest,38157,INR,Debt

espp1,01-04-2026,ESPP,invest,59600,INR,Equity
espp2,01-05-2026,ESPP,invest,68015,INR,Equity
espp3,01-06-2026,ESPP,invest,68015,INR,Equity

cash1,01-06-2026,CASH,invest,20000,INR,Cash
cash2,01-06-2026,CASH,invest,0,USD,Cash
